1,404 0.041915
2,404 0.044756
3,404 0.053541
4,404 0.043857
5,404 0.037618
6,404 0.038082
7,404 0.043588
8,404 0.030387
9,404 0.038462
10,404 0.058542
11,404 0.038080
12,404 0.037390
13,404 0.040215
14,404 0.044441
15,404 0.042025
16,404 0.036677
17,404 0.037771
18,404 0.034297
19,404 0.035485
20,404 0.034005
