Sat Sep  5 22:49:35 JST 2026
22:49  up 15:32, 15 users, load averages: 6.77 29.89 46.11
=== run174A search ===
174A 1 0.088176 200
174A 2 0.046927 200
174A 3 0.059186 200
174A 4 0.053631 200
174A 5 0.056474 200
174A 6 0.048668 200
174A 7 0.039916 200
174A 8 0.038014 200
174A 9 0.050658 200
174A 10 0.068889 200
174A 11 0.070444 200
174A 12 0.041301 200
174A 13 0.040221 200
174A 14 0.055119 200
174A 15 0.041803 200
174A 16 0.041765 200
174A 17 0.035649 200
174A 18 0.037202 200
174A 19 0.081636 200
174A 20 0.040145 200
=== run174B search ===
174B 1 0.042894 200
174B 2 0.037494 200
174B 3 0.051397 200
174B 4 0.041816 200
174B 5 0.037320 200
174B 6 0.044416 200
174B 7 0.046195 200
174B 8 0.997911 200
174B 9 0.035813 200
174B 10 0.048265 200
174B 11 0.037142 200
174B 12 0.036335 200
174B 13 0.038586 200
174B 14 0.037943 200
174B 15 0.035971 200
174B 16 0.033145 200
174B 17 0.039014 200
174B 18 0.037937 200
174B 19 0.042126 200
174B 20 0.043333 200
=== run174C search ===
174C 1 0.066342 200
174C 2 0.049489 200
174C 3 0.039685 200
174C 4 0.071528 200
174C 5 0.042959 200
174C 6 0.052343 200
174C 7 0.043410 200
174C 8 0.049509 200
174C 9 0.046955 200
174C 10 0.047651 200
174C 11 0.045780 200
174C 12 0.056571 200
174C 13 0.038239 200
174C 14 0.049838 200
174C 15 0.047032 200
174C 16 0.036819 200
174C 17 0.037707 200
174C 18 0.039918 200
174C 19 0.047870 200
174C 20 0.045405 200
=== landing control ===
LC 1 0.073713 200
LC 2 0.062397 200
LC 3 0.049257 200
LC 4 0.039862 200
LC 5 0.043205 200
LC 6 0.048139 200
LC 7 0.050023 200
LC 8 0.048671 200
LC 9 0.054189 200
LC 10 0.044508 200
LC 11 0.078167 200
LC 12 0.041429 200
LC 13 0.046620 200
LC 14 0.095369 200
LC 15 0.265021 200
LC 16 0.045918 200
LC 17 0.042074 200
LC 18 0.046339 200
LC 19 0.047876 200
LC 20 0.054935 200
Sat Sep  5 22:49:41 JST 2026
