Sat Sep  5 20:14:56 JST 2026
20:14  up 12:57, 15 users, load averages: 7.22 25.88 40.77
=== run167A search ===
167A 1 0.066404 200
167A 2 0.883893 200
167A 3 0.051616 200
167A 4 0.049965 200
167A 5 1.083155 200
167A 6 0.048117 200
167A 7 0.056840 200
167A 8 0.054204 200
167A 9 0.040168 200
167A 10 0.037966 200
167A 11 0.057929 200
167A 12 0.054894 200
167A 13 0.046213 200
167A 14 1.056972 200
167A 15 0.040080 200
167A 16 1.182408 200
167A 17 0.057513 200
167A 18 0.035332 200
167A 19 0.056906 200
167A 20 0.049232 200
=== run167B search ===
167B 1 0.042388 200
167B 2 0.042278 200
167B 3 0.043257 200
167B 4 0.044689 200
167B 5 0.038562 200
167B 6 0.050772 200
167B 7 0.043960 200
167B 8 0.039096 200
167B 9 0.071848 200
167B 10 0.048390 200
167B 11 0.052389 200
167B 12 0.037477 200
167B 13 0.042301 200
167B 14 0.035894 200
167B 15 0.044817 200
167B 16 0.042136 200
167B 17 0.034628 200
167B 18 0.045750 200
167B 19 0.038053 200
167B 20 0.068225 200
=== run167C search ===
167C 1 0.038783 200
167C 2 0.051725 200
167C 3 0.042931 200
167C 4 0.041654 200
167C 5 0.038743 200
167C 6 0.056009 200
167C 7 0.037672 200
167C 8 0.041230 200
167C 9 0.034799 200
167C 10 0.048527 200
167C 11 0.093417 200
167C 12 0.089998 200
167C 13 0.051982 200
167C 14 0.049956 200
167C 15 0.081012 200
167C 16 0.042452 200
167C 17 0.052843 200
167C 18 0.094571 200
167C 19 0.079033 200
167C 20 0.094502 200
=== landing control ===
LC 1 0.092204 200
LC 2 0.105573 200
LC 3 0.037833 200
LC 4 0.061964 200
LC 5 0.103266 200
LC 6 0.094743 200
LC 7 0.090305 200
LC 8 0.077859 200
LC 9 0.099457 200
LC 10 0.047093 200
LC 11 0.094921 200
LC 12 0.045210 200
LC 13 0.141210 200
LC 14 0.086739 200
LC 15 0.056601 200
LC 16 0.092181 200
LC 17 0.091020 200
LC 18 0.066037 200
LC 19 0.101330 200
LC 20 0.095708 200
Sat Sep  5 20:15:07 JST 2026
